,mean,standard_deviation,number of same results
accountant,-0.1841701964285712,0.0977411236373675,28.0
hr,-0.2176376749999999,0.10110723654778134,60.0
work from home,-2.9035737763461538,2.2661242069128478,52.0
mechanical engineer,-0.2818630812499999,0.07528897021133849,80.0
electrical engineer,-0.2898779210526316,0.0842643203502349,76.0
civil engineer,-0.22808632786885252,0.07630483657414774,61.0
sales,-0.24844050000000006,0.01077786298020119,2.0
graphic designer,-0.33725281999999973,0.12767743226123335,75.0
it,-0.0922287944444445,0.038415461815505474,72.0
marketing,-0.18702506222222232,0.03569333782877082,45.0
engineer,-0.10600634999999992,0.010082847724973318,2.0
customer service,-0.16315871212121213,0.0748409525202026,66.0
supply chain,-0.32797763265306124,0.1394241220933366,49.0
logistics,-0.18674808437500015,0.07005252975535682,64.0
internship,-1.9344913808064517,2.1395841063283543,62.0
data entry,-0.4943324500000001,0.5914250835457651,82.0
quality,-0.09363607671232878,0.06034252720248041,73.0
office manager,-0.16533799056603757,0.086400516602772,53.0
human resources,-0.6397353906249996,0.21685674061650256,64.0
procurement,-0.13657777411764707,0.07294808568695596,85.0
call center,-0.2138883684210528,0.13339430852187478,76.0
automotive,-0.5820125491111111,1.2865163326420692,90.0
production engineer,-0.2580261666666666,0.21023210293964723,78.0
real estate,-0.37048814492753646,0.19072473247174773,69.0
mechanical,-0.18933391624999996,0.051333986228883494,80.0
warehouse,-0.34103943511904766,0.682323828290387,84.0
electrical,-0.19249428421052633,0.06441312425402565,76.0
php,-0.17191157866666656,0.10609826941227044,75.0
production,-0.13219606941176465,0.06667331588412641,85.0
flutter,-0.9070003569642859,1.6240502703987647,56.0
manager,-0.0959493399999999,0.006065513050588382,15.0
receptionist,-0.18187846428571425,0.1385304065400854,84.0
digital marketing,-0.30977874999999966,0.11809388132413831,78.0
purchasing,-0.08955253132530128,0.05858038578028312,83.0
accounting,-0.14061681086956523,0.05655055812444186,46.0
sales manager,-0.21245992028985503,0.0901116222490614,69.0
hse,-1.145949728452381,1.7474927451503754,84.0
it manager,-0.15589652985074634,0.0507999077008588,67.0
finance,-0.16696669019607843,0.058248713562956037,51.0
android,-0.20095306666666662,0.1208206032701672,87.0
sales engineer,-0.2474073600000001,0.0673175196514049,75.0
pharmaceutical,-0.35013372857142855,0.15101850035446945,77.0
legal,-0.2973397845588235,0.6725249871863312,68.0
secretary,-0.012858341333333361,0.08337631929885017,75.0
planning,-0.0716876333333333,0.04772592579707019,78.0
maintenance,-0.12021029761904767,0.054524946739007124,84.0
accounting manager,-0.228080787878788,0.19146437302192112,66.0
project manager,-0.18024357936507934,0.05835424777972167,63.0
maadi,0.010614539130434747,0.05625147645193411,23.0
safety,-0.07002549518072287,0.08611479159555474,83.0
