,mean,standard_deviation,number of same results
accountant,-0.1333241551724137,0.05297364990309243,29.0
hr,-0.13123903333333334,0.06088858985933404,60.0
work from home,-1.0,-1.0,0.0
mechanical engineer,-0.06976743750000014,0.03807624794179644,80.0
electrical engineer,-0.07544857894736856,0.05024760460486658,76.0
civil engineer,-0.0051029098360655025,0.03760452080662529,61.0
sales,-1.0,-1.0,1.0
graphic designer,-0.16405775333333308,0.07697196998001207,75.0
it,-0.0029112152777777864,0.013497827851569532,72.0
marketing,-0.0778343577777778,0.022461396662572047,45.0
engineer,-1.0,-1.0,0.0
customer service,-0.019529401515151527,0.06007004902753893,66.0
supply chain,-0.1487306170212767,0.0756303439577356,47.0
logistics,-0.0963163625000001,0.038169587331890575,64.0
internship,-1.2878669794915254,1.798305903312441,59.0
data entry,-0.08587988780487806,0.11135366043138076,82.0
quality,-0.013439705479452065,0.03734933070519948,73.0
office manager,-1.0,-1.0,0.0
human resources,-0.3425384406779658,0.13316537452074662,59.0
procurement,-0.06202581647058821,0.03927084654017672,85.0
call center,-0.139334125,0.07234727105293962,76.0
automotive,-0.06791379033333331,1.0525059415325708,90.0
production engineer,-0.0815083653846155,0.1963505931333111,78.0
real estate,-0.20445271014492755,0.10670436639338966,69.0
mechanical,-0.08585825999999996,0.02515483543691726,80.0
warehouse,-0.1529559160493828,0.2106092001912455,81.0
electrical,-0.08758579342105273,0.04621868753114587,76.0
php,-0.07634443466666664,0.07644646672560856,75.0
production,-0.0603506023529411,0.039469291127180554,85.0
flutter,-0.5038468339285713,0.9707465395006635,56.0
manager,-1.0,-1.0,0.0
receptionist,-0.13800325595238117,0.08152834866313634,84.0
digital marketing,-0.13942198734177222,0.06673195950327888,79.0
purchasing,-0.02349045180722889,0.029837929426112065,83.0
accounting,-0.06099068958333328,0.03442343047391492,48.0
sales manager,-1.0,-1.0,0.0
hse,-0.6225163672619046,1.2109976918431173,84.0
it manager,-1.0,-1.0,0.0
finance,-0.0662341976190476,0.026725236374701256,42.0
android,-0.11976009080459768,0.07922825261556608,87.0
sales engineer,-0.04587693333333339,0.045643518065705754,75.0
pharmaceutical,-0.23238546883116887,0.1405825150790858,77.0
legal,-0.1620342163768115,0.3552933688105236,69.0
secretary,0.02033171486486476,0.04585707679044276,74.0
planning,-0.007572334615384606,0.01084124793318495,78.0
maintenance,-0.051755801204819284,0.024002253100147412,83.0
accounting manager,-1.0,-1.0,0.0
project manager,-1.0,-1.0,0.0
maadi,0.5229777521739132,0.9217228786872075,23.0
safety,-0.0060113816091953995,0.04907381689973518,87.0
